Project_Name,Project_URL,Project_Hash,PYPI_TAG,func_to_trace,tests_to_run,num_runs,source
scratch.ai,https://github.com/iArunava/scratch.ai,9472f64fd3a06a1daa51486b68f5d3d3c36ac2f0,,,,20.0,flapy_input_flakyProj_2020.csv
sparks,https://github.com/binaryart/sparks,387e9070d291e63c08f9ee46514da62457b421b9,,,,20.0,flapy_input_flakyProj_2020.csv
supertunnel,https://github.com/alexrudy/supertunnel,4c64e2fedda3382b809a2c3d01c711ec4961f933,,,,20.0,flapy_input_flakyProj_2020.csv
sxdm,https://github.com/WilliamJudge94/sxdm,01414186626e1f22d51a7d25fe73f64680cb796e,,,,20.0,flapy_input_flakyProj_2020.csv
volux,https://github.com/drtexx/volux,c41339aceeab4295967ea88b2edd05d0d456b2ce,,,,20.0,flapy_input_flakyProj_2020.csv
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,,,,20.0,flapy_input_flakyProj_2020.csv
PyXenaValkyrie,https://github.com/xenadevel/PyXenaValkyrie,92b45f1f37a5589cbdb9224a287fa0426d2c8d47,,,,20.0,flapy_input_flakyProj_2020.csv
SimPyClassic,https://github.com/SimPyClassic/SimPyClassic,b59fb83742e484f2c590ed005ac911868727d59d,,,,20.0,flapy_input_flakyProj_2020.csv
camel,https://github.com/eevee/camel,1f9132ce43f6933bd3e91681404aab817876b3e1,,,,20.0,flapy_input_flakyProj_2020.csv
cli-tools,https://github.com/codemagic-ci-cd/cli-tools,bc545dcce32aeddf3582f88774c753dde1381a3b,,,,20.0,flapy_input_flakyProj_2020.csv
coinbase-commerce-python,https://github.com/coinbase/coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,,,,20.0,flapy_input_flakyProj_2020.csv
crfmnes,https://github.com/nmasahiro/crfmnes,5fc9625c86135fb5e8824f867a08cc410d3638bd,,,,20.0,flapy_input_flakyProj_2020.csv
dynamic-conf,https://github.com/jnoortheen/dynamic-conf,42257f06a66765ac4f5de1c6a4637f4db779c5ab,,,,20.0,flapy_input_flakyProj_2020.csv
flare,https://github.com/mir-group/flare,29c3efa9364fdd16d5598e217f146dd69091e9f9,,,,20.0,flapy_input_flakyProj_2020.csv
knack,https://github.com/microsoft/knack,dc7b7d857ce3c11b2a3155b81f2470b3b579e7c9,,,,20.0,flapy_input_flakyProj_2020.csv
mdutils,https://github.com/didix21/mdutils,2ef859ecc1e4f1a3e24f4150c96f61180bc57ceb,,,,20.0,flapy_input_flakyProj_2020.csv
ols-client,https://github.com/Ensembl/ols-client,1ec1524449cf35b6c17cf4be7071b6fde539521b,,,,20.0,flapy_input_flakyProj_2020.csv
